urn,title,company,location,link,seniority_level
4214265754,"Senior AdOps Engineer (Europe, Remote, m, d, f)",Factor Eleven,Germany,https://de.linkedin.com/jobs/view/senior-adops-engineer-europe-remote-m-d-f-at-factor-eleven-4214265754,Mid-Senior level
3813489976,Webentwickler React / Angular (all gender),ALTEN Germany,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/webentwickler-react-angular-all-gender-at-alten-germany-3813489976,Entry level
4217607590,DevOps-Ingenieur:in,ZABEL,"Berlin, Germany",https://de.linkedin.com/jobs/view/devops-ingenieur-in-at-zabel-4217607590,Associate
4217403081,Full Stack Developer (m/f/d),360X,"Frankfurt, Hesse, Germany",https://de.linkedin.com/jobs/view/full-stack-developer-m-f-d-at-360x-4217403081,Mid-Senior level
4216013307,Programmierer (m/w/d) für die SPS- / Roboterprogrammierung,de Man Automation + Service GmbH & Co. KG,"Borgholzhausen, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/programmierer-m-w-d-f%C3%BCr-die-sps-roboterprogrammierung-at-de-man-automation-%2B-service-gmbh-co-kg-4216013307,Entry level
4215691976,Applied Mathematician - Polish (Poland),Outlier,"Frankfurt, Hesse, Germany",https://de.linkedin.com/jobs/view/applied-mathematician-polish-poland-at-outlier-4215691976,Entry level
4182998380,Senior Fullstack Engineer (d/f/m) - 7-months temporary role,mobile.de,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/senior-fullstack-engineer-d-f-m-7-months-temporary-role-at-mobile-de-4182998380,Mid-Senior level
4217651268,(Junior) Cloud Engineer (m/w/d),TieTalent,"Heilbronn, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/junior-cloud-engineer-m-w-d-at-tietalent-4217651268,Entry level
4137447273,Senior Software Engineer Python (all genders),adesso SE,"Hamburg, Hamburg, Germany",https://de.linkedin.com/jobs/view/senior-software-engineer-python-all-genders-at-adesso-se-4137447273,Mid-Senior level
4216011435,Software Developer Reporting. (m/w/d),ODAV AG,"Straubing, Bavaria, Germany",https://de.linkedin.com/jobs/view/software-developer-reporting-m-w-d-at-odav-ag-4216011435,Entry level
4195441359,Software Developer* Full Stack,inovex GmbH,Greater Munich Metropolitan Area,https://de.linkedin.com/jobs/view/software-developer-full-stack-at-inovex-gmbh-4195441359,Associate
4214202869,Software Engineer - Full Time (m/f/d),Monet,"Nuremberg, Bavaria, Germany",https://de.linkedin.com/jobs/view/software-engineer-full-time-m-f-d-at-monet-4214202869,Entry level
4217249966,Backend Developer (m/w/d),MOBIKO,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/backend-developer-m-w-d-at-mobiko-4217249966,Entry level
4190987222,Application Engineer - Integration Engineering,Applied Intuition,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/application-engineer-integration-engineering-at-applied-intuition-4190987222,Mid-Senior level
4216031881,Software Developer Full-Stack,CID,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/software-developer-full-stack-at-cid-4216031881,Entry level
4218157987,Junior DevOps Engineer (m/w/d),TieTalent,"Neckarsulm, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/junior-devops-engineer-m-w-d-at-tietalent-4218157987,Entry level
4216956749,Software Developer Kotlin/Java (m/f/d),Noerr,"Würzburg, Bavaria, Germany",https://de.linkedin.com/jobs/view/software-developer-kotlin-java-m-f-d-at-noerr-4216956749,Entry level
3733036904,Software Developer MES / IIoT (all genders),adesso SE,"Neumünster, Schleswig-Holstein, Germany",https://de.linkedin.com/jobs/view/software-developer-mes-iiot-all-genders-at-adesso-se-3733036904,Entry level
4215615150,Full Stack Developer,meetergo,Germany,https://de.linkedin.com/jobs/view/full-stack-developer-at-meetergo-4215615150,Associate
4217265886,Software Engineer (d/w/m),TieTalent,"Wetzlar, Hesse, Germany",https://de.linkedin.com/jobs/view/software-engineer-d-w-m-at-tietalent-4217265886,Mid-Senior level
4214272230,Fullstack Entwickler,Envidual,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/fullstack-entwickler-at-envidual-4214272230,Entry level
4217283781,Staff AI Engineer (m/f/d),IU International University of Applied Sciences,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/staff-ai-engineer-m-f-d-at-iu-international-university-of-applied-sciences-4217283781,Mid-Senior level
4217253774,(Lead) IoT Solutions Engineer (m/f/d),Peter Park,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/lead-iot-solutions-engineer-m-f-d-at-peter-park-4217253774,Mid-Senior level
4217208948,Entwicklungsingenieur Embedded Software (m/w/d),TIMUT,"Heidelberg, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/entwicklungsingenieur-embedded-software-m-w-d-at-timut-4217208948,Associate
4214789189,Full Stack Developer (f/m/d),Tangany,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/full-stack-developer-f-m-d-at-tangany-4214789189,Associate
4214796817,"Odoo Entwickler/in; Remote oder vor Ort im Büro Hannover (Vollzeit/Teilzeit, m/w/d)",IFE Gesellschaft für Forschung und Entwicklung mbH,Germany,https://de.linkedin.com/jobs/view/odoo-entwickler-in-remote-oder-vor-ort-im-b%C3%BCro-hannover-vollzeit-teilzeit-m-w-d-at-ife-gesellschaft-f%C3%BCr-forschung-und-entwicklung-mbh-4214796817,Entry level
4218496786,Engineer - Quality Assurance (m/f/d),BioNTech SE,"Mainz, Rhineland-Palatinate, Germany",https://de.linkedin.com/jobs/view/engineer-quality-assurance-m-f-d-at-biontech-se-4218496786,Mid-Senior level
4214224724,Platform Engineer,YAZIO,Germany,https://de.linkedin.com/jobs/view/platform-engineer-at-yazio-4214224724,Mid-Senior level
4137442826,Senior Software Engineer Python (all genders),adesso SE,"Augsburg, Bavaria, Germany",https://de.linkedin.com/jobs/view/senior-software-engineer-python-all-genders-at-adesso-se-4137442826,Mid-Senior level
4137445432,Senior Software Engineer Python (all genders),adesso SE,"Düsseldorf, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/senior-software-engineer-python-all-genders-at-adesso-se-4137445432,Mid-Senior level
4217290088,Staff AI Engineer (m/f/d),IU International University of Applied Sciences,"Hamburg, Hamburg, Germany",https://de.linkedin.com/jobs/view/staff-ai-engineer-m-f-d-at-iu-international-university-of-applied-sciences-4217290088,Mid-Senior level
4217252759,Werkstudium / Praxissemester Web Development,FarmAct,"Augsburg, Bavaria, Germany",https://de.linkedin.com/jobs/view/werkstudium-praxissemester-web-development-at-farmact-4217252759,Internship
4214968882,"Frontend Engineer, German-Speaking (C1/C2)",Muxon,"Neu Ulm, Bavaria, Germany",https://de.linkedin.com/jobs/view/frontend-engineer-german-speaking-c1-c2-at-muxon-4214968882,Mid-Senior level
4217272172,Software Engineer (d/w/m),TieTalent,"Darmstadt, Hesse, Germany",https://de.linkedin.com/jobs/view/software-engineer-d-w-m-at-tietalent-4217272172,Mid-Senior level
4184059158,Full Stack Developer,Honeywell,"Neuss, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/full-stack-developer-at-honeywell-4184059158,Mid-Senior level
4214738941,Full Stack Developer,Optimus Search,"Stuttgart, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/full-stack-developer-at-optimus-search-4214738941,Mid-Senior level
4215630634,Projektmitarbeiter / Doktorand (w/m/d) im Bereich Extended Reality,Albstadt-Sigmaringen University,"Albstadt, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/projektmitarbeiter-doktorand-w-m-d-im-bereich-extended-reality-at-albstadt-sigmaringen-university-4215630634,Internship
4199451843,Software Engineer (w/m/d),ASSA ABLOY Group,"Ettenheim, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/software-engineer-w-m-d-at-assa-abloy-group-4199451843,Associate
4218183663,Software Engineer (m/w/d),TieTalent,"Birkenfeld, Rhineland-Palatinate, Germany",https://de.linkedin.com/jobs/view/software-engineer-m-w-d-at-tietalent-4218183663,Entry level
4217250944,Fullstack Software Developer (w/m/d),neurocare group,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/fullstack-software-developer-w-m-d-at-neurocare-group-4217250944,Entry level
